username,#assignment,#problem,%assignment>0.8,score,syntax,ac,WRONG,TLE,RTE,Final_count,total_submissions,rate_pre_score,unique_days,unique_weeks,Compilation_Error,avg_submissions_per_day,avg_submissions_per_week,assignment_diversity,problem_diversity,mean_submissions_per_problem
40d6052a7ccec94dae8348e5249381afabbbc985,10,61,20,87.02295082,20.78,31.17,44.81,4.55,5.19,68,154,31.81818182,25,10,20.77922078,6.16,15.4,0.064935065,0.396103896,2.264705882
e2ed5ffddf1e60198f9f138810f84b7107ca0561,4,16,0,94.375,24.32,32.43,40.54,2.7,0,16,37,32.43243243,4,4,24.32432432,9.25,9.25,0.108108108,0.432432432,2.3125
8554d1155712da4bc72ec5921db3227311265359,11,110,81.82,95.07590909,15.4,25.36,53.08,10.43,5.45,110,422,26.54028436,36,10,15.4028436,11.72222222,42.2,0.026066351,0.260663507,3.836363636
020f253c343856ea875e959023e79fb1d4d9c0a3,1,2,0,50,0,33.33,66.67,0,0,2,3,33.33333333,1,1,0,3,3,0.333333333,0.666666667,1.5
139aa923bf965f373c678ba8c10f500d78269e20,11,70,63.64,98.92857143,12.31,30.38,44.62,14.23,11.15,78,260,32.69230769,33,14,12.30769231,7.878787879,18.57142857,0.042307692,0.269230769,3.333333333
1e09b1a5541a443716e68239b181fc116425a9b2,5,58,100,98.90793103,11.43,52.38,31.43,1.9,4.76,58,105,53.33333333,12,6,11.42857143,8.75,17.5,0.047619048,0.552380952,1.810344828
89fe8b96c04597a0fb63dca3a86e5f36e7580940,6,20,16.67,96.3155,6.86,20.59,68.63,10.78,4.9,20,102,36.2745098,13,7,6.862745098,7.846153846,14.57142857,0.058823529,0.196078431,4.857142857
8b65dcf807a9de0c95c0896919da04523176fab8,6,73,66.67,96.52958904,18.64,58.47,20.34,4.24,0,73,118,60.16949153,8,8,18.6440678,14.75,14.75,0.050847458,0.618644068,1.616438356
b6e252e4989b3b422d69eae06831ad0bfd396126,10,70,60,93.22571429,18.06,39.35,28.39,7.1,10.97,70,155,40,27,13,18.06451613,5.740740741,11.92307692,0.064516129,0.451612903,2.214285714
9e0457ac0f2824c5e725d83bdeee91ed078343b4,8,111,75,98.04801802,21.13,43.43,31.46,5.4,1.88,178,426,46.94835681,21,9,21.12676056,20.28571429,47.33333333,0.018779343,0.26056338,2.393258427
6c374b4a75105783a809e8b6ba468da3200d0c1a,4,61,100,100,11.63,48.84,36.43,3.1,0.78,61,129,51.1627907,13,7,11.62790698,9.923076923,18.42857143,0.031007752,0.472868217,2.114754098
57b547211651511366a63249605b9b9f4a9c3e9c,12,89,50,93.56696629,27.45,30.25,40.06,1.96,0.28,90,357,32.4929972,30,11,27.45098039,11.9,32.45454545,0.033613445,0.24929972,3.966666667
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,10,78,90,97.08333333,7.22,18.59,57.58,25.45,9.75,80,554,24.90974729,62,16,7.220216606,8.935483871,34.625,0.018050542,0.140794224,6.925
ed6c052a16794cf2376b1497c505b438e9af69b6,4,35,50,93.71428571,12.5,28.95,52.63,5.26,0.66,35,152,34.21052632,12,4,12.5,12.66666667,38,0.026315789,0.230263158,4.342857143
1cb262ad711450f9a6a0f5cf786788b17d2d481a,7,105,71.43,97.39342857,36.96,34.47,27.64,3.11,0.31,112,322,34.7826087,26,8,36.95652174,12.38461538,40.25,0.02173913,0.326086957,2.875
c5d903eea354607809419b5e23c869ea16626a59,7,108,71.43,96.68972222,22.12,33.94,35.15,13.64,3.94,112,330,35.75757576,37,15,22.12121212,8.918918919,22,0.021212121,0.327272727,2.946428571
0c67423aa82630d4406e9477bb7462db4df09c4d,9,68,77.78,95.05882353,13.67,17.54,60.59,17.31,12.3,69,439,23.69020501,28,11,13.66742597,15.67857143,39.90909091,0.020501139,0.154897494,6.362318841
701f03bc7072ef7b0114a4769bc8955e5e5c9af2,5,10,40,80,29.79,17.02,53.19,0,0,10,47,17.0212766,5,3,29.78723404,9.4,15.66666667,0.106382979,0.212765957,4.7
927008a1eb1983b52fe269b504f398ca185603c3,4,55,25,94.72727273,21.62,28.65,47.57,1.08,2.7,55,185,31.35135135,14,8,21.62162162,13.21428571,23.125,0.021621622,0.297297297,3.363636364
7985b1dc9dd0dab814afa417245073d1d74f85ea,4,61,100,99.67213115,40.68,26.62,30.42,0,2.28,61,263,26.61596958,14,8,40.68441065,18.78571429,32.875,0.015209125,0.231939163,4.31147541
fd29d68d81bf469540c56ab7074ad748cd72203c,6,38,33.33,99.56131579,38.54,22.44,38.54,0.49,8.29,38,205,22.43902439,15,11,38.53658537,13.66666667,18.63636364,0.029268293,0.185365854,5.394736842
d6f54f87ad964bd1cea20ffceea962f8b6236da3,6,111,66.67,92.3272973,15.41,34.59,45.93,2.62,2.62,116,344,35.46511628,31,12,15.40697674,11.09677419,28.66666667,0.01744186,0.322674419,2.965517241
448866b737d07d7d184e7c1111b8f50d1b8fe91b,15,48,13.33,68.409375,21.15,24.04,43.27,21.15,11.54,48,104,27.88461538,16,10,21.15384615,6.5,10.4,0.144230769,0.461538462,2.166666667
97983f3249349cfcb409b75d5f53e5cbab2bfa5a,7,44,71.43,100,4.96,50.41,41.32,4.96,1.65,59,121,53.71900826,19,10,4.958677686,6.368421053,12.1,0.05785124,0.363636364,2.050847458
62cf219990f892f13b18fb0ec1f08a2aebdae0ad,5,59,80,97.32118644,10.16,41.41,45.31,0.78,3.12,59,128,46.09375,19,7,10.15625,6.736842105,18.28571429,0.0390625,0.4609375,2.169491525
b72f0fecebc0120609eb4643631055b2e7a31fd7,6,113,100,99.11504425,15.2,57.35,24.02,3.92,2.45,118,204,58.33333333,21,11,15.19607843,9.714285714,18.54545455,0.029411765,0.553921569,1.728813559
f3a7769633f8060ffee4a0295c55ec9be084e3c0,6,111,100,96.3963964,21.86,36.66,37.94,2.57,1.29,115,311,39.54983923,36,14,21.86495177,8.638888889,22.21428571,0.019292605,0.356913183,2.681034483
47e01709f5df0b8793de34e70e8ddd9f8aa16d60,11,102,63.64,90.36343137,19.81,28.93,46.54,2.52,2.52,102,318,34.27672956,45,14,19.81132075,7.066666667,22.71428571,0.034591195,0.320754717,3.117647059
abf736b0441172883ba772951733e73d557598ab,4,50,100,100,16.36,30.91,49.09,1.21,3.03,50,165,33.33333333,5,3,16.36363636,33,55,0.024242424,0.303030303,3.3
af99c21153a5cd9289febb0cc7d1f8cbee810621,4,28,50,85.71428571,40,43.64,16.36,3.64,0,28,55,43.63636364,4,2,40,13.75,27.5,0.072727273,0.509090909,1.964285714
1abf62f1e76bc5ac164061cff2a8171d6b6de657,7,116,71.43,89.11758621,44.59,15.22,38.05,1.87,2,127,749,15.35380507,37,15,44.59279039,20.24324324,49.93333333,0.009345794,0.154873164,5.897637795
f5a2b63a98287f49a07f6101717dd4c1048b9903,9,80,77.78,94.125,22.92,51.39,22.22,0.69,2.78,81,144,51.38888889,14,8,22.91666667,10.28571429,18,0.0625,0.555555556,1.777777778
78d8860538c6853a9c13a0c232dadcfa0d516f08,15,101,80,98.8670297,17.93,53.8,25,3.26,3.26,101,184,53.80434783,25,11,17.93478261,7.36,16.72727273,0.081521739,0.548913043,1.821782178
a9947ca4f64f3122a22c7827ae089d48db8fd76d,6,49,83.33,96.70326531,34.82,22.77,39.29,5.8,0.45,52,224,23.66071429,14,7,34.82142857,16,32,0.026785714,0.21875,4.307692308
64bb0d71f782349bd0bce3ba44cf9b454bd46cfd,4,62,100,100,26.12,11.99,57.78,2.5,1.97,62,559,13.7745975,21,8,26.11806798,26.61904762,69.875,0.007155635,0.110912343,9.016129032
454c509567c0f19453009731315e3db245a8c756,11,98,81.82,97.52183673,23.74,34.89,39.57,0.36,2.16,98,278,38.48920863,27,11,23.74100719,10.2962963,25.27272727,0.039568345,0.352517986,2.836734694
3015441ae521554bb4d04b1e3bad620170a43d79,12,106,66.67,90.25943396,17.36,29.58,50.86,0.98,2.69,106,409,30.56234719,30,12,17.3594132,13.63333333,34.08333333,0.029339853,0.259168704,3.858490566
2290b12e40983b7635bc452c3b6e00c80549220a,14,92,64.29,97.60869565,27.37,29.27,40.38,1.9,2.71,93,369,29.8102981,40,14,27.37127371,9.225,26.35714286,0.037940379,0.249322493,3.967741935
769df9fad97e6d153e170a9ec41e33e8410f4b6b,6,100,83.33,99.9666,13.5,51,32,3.5,1,100,200,53,19,10,13.5,10.52631579,20,0.03,0.5,2
2639f9f46c6949536c784118cbcd036cd00c075e,4,40,75,90.357,34.15,39.84,25.2,0.81,0,53,123,41.46341463,6,4,34.14634146,20.5,30.75,0.032520325,0.325203252,2.320754717
14354d2cff31b4330ad9e939b18cc8fce8c1c085,5,59,100,97.28813559,11.76,43.79,43.14,1.31,0.65,59,153,55.55555556,10,7,11.76470588,15.3,21.85714286,0.032679739,0.385620915,2.593220339
216a3ccb8504db72c0b5ef227b00d61d2e2ec7be,5,46,40,76.41282609,21.13,23.94,42.25,5.63,8.45,46,142,30.98591549,15,8,21.12676056,9.466666667,17.75,0.035211268,0.323943662,3.086956522
d28c344507f89c41df926794e0d5a96d10349014,1,2,0,32.14,0,0,100,0,0,2,6,0,1,1,0,6,6,0.166666667,0.333333333,3
50779b692cc73e3ba24df84db11b8e2bbb062591,7,21,100,100,2.08,45.83,39.58,0,12.5,21,48,45.83333333,9,5,2.083333333,5.333333333,9.6,0.145833333,0.4375,2.285714286
ac6522ed2e2b8a808bb80970ccffcb6572183349,7,87,71.43,98.33068966,12.9,27.74,51.94,8.39,1.94,87,310,29.35483871,35,15,12.90322581,8.857142857,20.66666667,0.022580645,0.280645161,3.563218391
8cf96ad1e77c722694ef03a06a781d61d632f2c0,10,98,90,100,10.42,38.54,38.54,8.68,4.51,98,288,42.36111111,32,12,10.41666667,9,24,0.034722222,0.340277778,2.93877551
92de4c1319bb3b07781b63801e4599302764dc5f,8,59,50,99.35423729,4.65,75.58,18.6,2.33,1.16,64,86,75.58139535,11,8,4.651162791,7.818181818,10.75,0.093023256,0.686046512,1.34375
331639421af1df525391f1013c5363683efb9f68,4,63,75,100,26.58,28.69,41.77,0.84,3.38,63,237,29.11392405,15,8,26.58227848,15.8,29.625,0.016877637,0.265822785,3.761904762
5389d34e45392c6d5e8596d686b06d853e1ed696,8,76,50,96.05263158,26.14,42.05,28.41,0,4.55,77,176,42.04545455,13,11,26.13636364,13.53846154,16,0.045454545,0.431818182,2.285714286
14a493d035053a109eeeeb50a501d2b69a8ec429,6,113,100,99.11504425,41.01,25.16,33.4,0,1.48,118,473,26.21564482,25,12,41.01479915,18.92,39.41666667,0.012684989,0.238900634,4.008474576
f0cbea39c26f2cf588e04885ddc1a439564bd782,6,62,66.67,98.98129032,30.62,31.58,34.93,2.87,0,63,209,35.40669856,13,8,30.62200957,16.07692308,26.125,0.028708134,0.296650718,3.317460317
f1299639d65fd743440958354f22154e171500d0,2,21,100,99.20619048,17.43,18.35,64.22,0,0.92,21,109,19.26605505,6,3,17.43119266,18.16666667,36.33333333,0.018348624,0.19266055,5.19047619
394f4eb7fa3337f92a1148e8e9ba1727995bc8f5,4,7,50,85.71428571,0,58.33,41.67,0,0,7,12,58.33333333,4,3,0,3,4,0.333333333,0.583333333,1.714285714
0306a80129ed6d5afadece8164929697bbbdea69,7,17,42.86,76.47058824,11.84,17.11,52.63,2.63,15.79,17,76,17.10526316,8,4,11.84210526,9.5,19,0.092105263,0.223684211,4.470588235
943f8910b7d79d76726a7c50a996a39a00fb033b,4,52,50,99.03846154,32.62,19,41.58,7.53,1.08,52,279,18.99641577,17,8,32.61648746,16.41176471,34.875,0.014336918,0.186379928,5.365384615
fc4d0cb084cf3b98bbe820a9fc36fd437940969e,4,28,50,92.14285714,26.09,23.48,47.83,0,2.61,28,115,27.82608696,6,3,26.08695652,19.16666667,38.33333333,0.034782609,0.243478261,4.107142857
334f25ceeca6e440b1210f205c253cdc8d25942e,7,85,71.43,95.85035294,29.64,22.99,44.04,4.16,2.77,85,361,23.54570637,31,15,29.6398892,11.64516129,24.06666667,0.019390582,0.235457064,4.247058824
1ff3bf1f9353578bd902ce0b3879369b46c72640,1,3,100,100,0,100,0,0,0,3,3,100,1,1,0,3,3,0.333333333,1,1
c084f1399d2813131b70acb3920068a454cea6d5,5,42,20,92.14285714,24.81,31.58,40.6,0,3.76,42,133,31.57894737,15,10,24.81203008,8.866666667,13.3,0.037593985,0.315789474,3.166666667
0659d0431565eaacdc601973560ee8331f910947,9,79,44.44,96.92670886,27.83,24.46,44.95,2.14,2.45,79,327,25.99388379,26,8,27.82874618,12.57692308,40.875,0.027522936,0.241590214,4.139240506
979ddec134899a31461a05d820b9d6cad713715b,6,92,50,83.21347826,16.25,47.5,34.38,3.75,0,109,160,48.125,26,9,16.25,6.153846154,17.77777778,0.0375,0.575,1.467889908
5b30abfc32d4c33257f7cd949641935527dd4a42,6,106,83.33,98.62839623,21.24,42.86,31.27,5.02,3.47,109,259,45.55984556,37,12,21.23552124,7,21.58333333,0.023166023,0.409266409,2.376146789
f7d331120e9b3a15cf4a0028849bf050846d5d6a,15,95,33.33,91.13884211,17.48,32.52,43.9,8.94,2.44,95,246,33.7398374,23,13,17.4796748,10.69565217,18.92307692,0.06097561,0.386178862,2.589473684
440a4bdda60ec044e91b9e5ee5c478c20bbbaf7e,7,102,71.43,99.28098039,16.95,35.34,35.92,11.78,10.63,116,348,38.2183908,25,12,16.95402299,13.92,29,0.020114943,0.293103448,3
8866a6da23ad8a2abfb243905e0b5e2c98e366bc,5,114,100,100,27,34.42,30.27,6.53,2.37,114,337,35.60830861,16,7,27.00296736,21.0625,48.14285714,0.014836795,0.338278932,2.956140351
0fc74820b7bcdd23c196f494e7686305acbdc71e,5,43,20,97.44186047,22.13,34.43,35.25,6.56,2.46,43,122,34.42622951,13,8,22.13114754,9.384615385,15.25,0.040983607,0.352459016,2.837209302
5c67cd01bb445f9b80d30f2c551d0d42776898fe,3,28,66.67,100,16.44,54.79,27.4,1.37,0,28,73,54.79452055,8,6,16.43835616,9.125,12.16666667,0.04109589,0.383561644,2.607142857
f408354e704d901dac2f283fc8242d2787ee4813,11,105,81.82,96.80019048,16.18,41.54,38.24,2.94,2.21,105,272,42.64705882,32,13,16.17647059,8.5,20.92307692,0.040441176,0.386029412,2.59047619
0b26c12ecc1bc4c1f127d5e6f6302b1b0b584faf,1,5,0,0,100,0,0,0,0,5,5,0,1,1,100,5,5,0.2,1,1
771f7a4ff0b16239a5f4a828485e057bd3069308,13,97,76.92,93.91752577,31.88,30.87,35.91,2.35,0,97,298,31.20805369,15,9,31.87919463,19.86666667,33.11111111,0.043624161,0.325503356,3.072164948
3fb53c585faf97ed5b0ecb316a4b419c969b790a,5,57,20,96.70701754,16.35,54.81,27.88,0.96,0,62,104,56.73076923,13,7,16.34615385,8,14.85714286,0.048076923,0.548076923,1.677419355
e594aa5283c8b2076ece870504b4b6b2e9c29ca9,5,42,60,98.0347619,13.39,35.71,42.86,9.82,0,42,112,35.71428571,13,8,13.39285714,8.615384615,14,0.044642857,0.375,2.666666667
414a76fbb610cfb396dc7177dfe67944fd7175f2,7,64,71.43,95.3125,17.62,34.29,46.19,1.9,0.48,63,210,37.14285714,13,9,17.61904762,16.15384615,23.33333333,0.033333333,0.304761905,3.28125
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,7,62,85.71,94.35483871,14.86,47.43,32,6.29,3.43,75,175,48.57142857,23,11,14.85714286,7.608695652,15.90909091,0.04,0.354285714,2.333333333
c5b963fdd21435b56c4cf55f49d652d92fc83093,5,59,100,100,18.5,33.5,34.5,2.5,12.5,59,200,34,17,6,18.5,11.76470588,33.33333333,0.025,0.295,3.389830508
2ecfee45346013cf126b75cfc8bdd2ba3b0c2666,4,65,0,7.692307692,66.67,5,28.33,0.83,0.83,65,120,5,8,6,66.66666667,15,20,0.033333333,0.541666667,1.846153846
816aa6a9aceb1014260977a52d4ad600065ed4d2,4,62,75,99.07822581,13.38,40.76,37.58,1.27,8.92,62,157,41.40127389,13,7,13.37579618,12.07692308,22.42857143,0.025477707,0.394904459,2.532258065
948fbf59cd52083820e8e1682a5bc2a34793997a,10,76,90,98.57894737,4.61,25.99,52.63,20.39,6.91,78,304,35.19736842,46,13,4.605263158,6.608695652,23.38461538,0.032894737,0.25,3.897435897
c399382ea2553528d9b44a9aa6492cee7cf0b5c0,6,47,66.67,91.54255319,20.45,46.21,29.55,0.76,4.55,61,132,46.96969697,11,5,20.45454545,12,26.4,0.045454545,0.356060606,2.163934426
661f15eb45462975429d17bf60fc64df4cae4431,7,50,85.71,98.5262,9.9,37.13,36.14,12.87,6.44,54,202,37.62376238,14,8,9.900990099,14.42857143,25.25,0.034653465,0.247524752,3.672727273
541270fc6468b9399001ee5a8bfa0cd380e1db60,3,22,66.67,95.90909091,7.14,78.57,14.29,3.57,0,22,28,78.57142857,3,3,7.142857143,9.333333333,9.333333333,0.107142857,0.785714286,1.272727273
5f8dfe6855d546a89ee51fdc47f1e3a135f1edf8,7,111,71.43,94.48693694,9.75,27.1,48.54,18.13,4.29,124,513,34.11306043,52,14,9.746588694,9.865384615,36.64285714,0.013645224,0.216374269,4.137096774
d2a2d2ee79d993c9821f176d9a248223ee59b3c7,9,48,44.44,95.656875,16.53,47.11,35.54,3.31,0.83,50,121,49.58677686,19,11,16.52892562,6.368421053,11,0.074380165,0.396694215,2.42
67b7c9f4a952be9c0f4759e1991d86a3e1fbbe58,2,11,0,60,71.79,7.69,17.95,0,3.85,10,78,7.692307692,2,2,71.79487179,39,39,0.025641026,0.141025641,7.090909091
597484c12788a0febfb255aabf5f08df62469313,3,22,0,90.90909091,30.88,33.82,33.82,0,1.47,22,68,36.76470588,11,6,30.88235294,6.181818182,11.33333333,0.044117647,0.323529412,3.090909091
598ceb16f7935dd1dada8de4441690df8cdc9e29,5,59,100,100,13.07,39.87,44.44,1.96,1.31,59,153,41.83006536,11,7,13.07189542,13.90909091,21.85714286,0.032679739,0.385620915,2.593220339
911daa5a6058823b007274f35ba038da7ec89a11,10,90,50,96.74855556,23.32,38.12,35.87,1.35,1.79,90,223,42.60089686,24,11,23.31838565,9.291666667,20.27272727,0.044843049,0.403587444,2.477777778
3886b365ce33e5988c6c8a73eed09ac8a7c784bf,11,99,81.82,100,24.62,17.49,55.01,4.24,0.85,99,589,17.82682513,33,13,24.6179966,17.84848485,45.30769231,0.018675722,0.168081494,5.949494949
a5b034cb2c29d312a2e5475da6174e196cfc3c1b,11,105,72.73,92.75780952,22.77,20.4,49.31,8.71,3.96,105,505,21.78217822,39,10,22.77227723,12.94871795,50.5,0.021782178,0.207920792,4.80952381
da7fa747f59ca321b48b414b2f884d027bc961f8,11,87,45.45,86.61321839,28.32,32.3,35.4,4.87,0.88,87,226,32.74336283,24,10,28.31858407,9.416666667,22.6,0.048672566,0.384955752,2.597701149
58a95bac37747ee4fd0e321770a89477f49492a3,12,116,75,93.62068966,13.49,44.74,36.51,3.62,3.29,118,304,49.67105263,30,11,13.48684211,10.13333333,27.63636364,0.039473684,0.381578947,2.576271186
dc87f8c4ae8953d2d0bcaf1a08239547d77cdee8,11,106,81.82,96.73443396,20.74,34.45,40.47,4.35,6.35,106,299,35.78595318,29,13,20.73578595,10.31034483,23,0.036789298,0.35451505,2.820754717
8460eaaf887a6289fb156f7562fb739ba8e9629e,12,114,66.67,97.01754386,25.31,20.29,48.83,4.13,5.03,115,557,20.82585278,33,12,25.31418312,16.87878788,46.41666667,0.021543986,0.204667864,4.843478261
8e3a076971fce919b1a5a0bc62dcef86264a1c24,10,65,40,94.58876923,9.8,28.57,57.96,5.71,2.45,71,245,28.97959184,23,10,9.795918367,10.65217391,24.5,0.040816327,0.265306122,3.450704225
5a70a8f9f1dac45c7332db8230f0a8a77208507b,10,97,90,100,35.23,38.43,25.27,1.42,0.36,97,281,38.4341637,20,12,35.23131673,14.05,23.41666667,0.035587189,0.34519573,2.896907216
1466659761d4827040ac1226fa45ad172c4743a4,6,110,100,100,15.81,51.28,28.63,4.7,1.71,115,234,54.27350427,25,13,15.81196581,9.36,18,0.025641026,0.47008547,2.034782609
6729764776215a0456ef5332c5168b4db29314b4,4,63,75,99.68253968,6.38,43.97,43.97,1.42,5.67,63,141,43.97163121,11,5,6.382978723,12.81818182,28.2,0.028368794,0.446808511,2.238095238
363d3494b7918fffc4e59beed6c76eb7d05b2c64,11,84,72.73,97.91202381,16.33,41.84,34.18,6.63,1.53,84,196,43.87755102,21,9,16.32653061,9.333333333,21.77777778,0.056122449,0.428571429,2.333333333
987888aba1d68d84a51fcfef4131d649024e0aec,1,1,0,100,0,100,0,0,0,1,1,100,1,1,0,1,1,1,1,1
218191f4a8648e65ada28c23f52f578dec21cd98,7,49,71.43,97.95918367,17.71,54.17,28.12,1.04,0,52,96,54.16666667,9,8,17.70833333,10.66666667,12,0.072916667,0.510416667,1.846153846
5a5c99822d76f4f6f1f90521f4c1f1d5e53590a1,4,62,75,96.12903226,30.89,23.98,45.12,0,0.41,62,246,24.79674797,12,7,30.89430894,20.5,35.14285714,0.016260163,0.25203252,3.967741935
c3635fc4a7b4545fc6df8dcad81f86d1e08c66cc,7,21,85.71,95.23809524,3.57,75,21.43,0,0,21,28,75,7,4,3.571428571,4,7,0.25,0.75,1.333333333
8ef9f17bb904f437ec0a9849d820ed0f86843517,7,48,57.14,90.861875,14.14,30.89,48.17,7.85,8.9,63,191,33.5078534,10,5,14.13612565,19.1,38.2,0.036649215,0.251308901,3.031746032
55664bd6d6073e97a98788e3f319eb36662f29f8,12,81,58.33,97.24753086,7.64,54.86,31.94,0.69,6.94,81,144,55.55555556,21,12,7.638888889,6.857142857,12,0.083333333,0.5625,1.777777778
addfbcc77f77c6c80cc3e55261cec181722e68cb,8,20,75,100,8.16,44.9,46.94,0,0,20,49,44.89795918,8,4,8.163265306,6.125,12.25,0.163265306,0.408163265,2.45
ca84b66fa8d2c26e91bcd21dea081bb062e51711,1,12,0,78.96333333,12.12,12.12,65.15,13.64,1.52,11,132,25,10,5,12.12121212,13.2,26.4,0.007575758,0.090909091,11
536602cb1404169f62436284f9cdba1a7b21c7ae,6,109,83.33,95.35440367,20.99,34.26,37.65,2.16,7.72,114,324,34.25925926,27,12,20.98765432,12,27,0.018518519,0.336419753,2.842105263
6eca9c1b4a046e9ceb3db39e478ccaa393117c3f,6,40,66.67,89.79375,12.61,31.93,52.1,3.36,0,41,119,33.61344538,18,9,12.60504202,6.611111111,13.22222222,0.050420168,0.336134454,2.76744186
73351e7d3ace1ea88b52e895d6fccc2f2bee88f3,12,72,41.67,97.77777778,20.06,22.84,36.11,11.11,12.04,73,324,27.77777778,24,9,20.0617284,13.5,36,0.037037037,0.222222222,4.438356164
0a2c78cee9afdc522c5f0fae46937138f47b152b,2,22,50,95,50.78,15.62,33.59,0,0,22,128,17.96875,7,3,50.78125,18.28571429,42.66666667,0.015625,0.171875,5.818181818
0785a61c54bc37c6ddad3c02b29d1f9e15adf85b,4,57,75,95.84789474,20.23,31.79,43.93,4.05,2.89,57,173,32.94797688,10,6,20.23121387,17.3,28.83333333,0.023121387,0.329479769,3.035087719
b80a4c674f6640d304722f4a92eb9b47345f1258,2,29,100,100,33.51,15.98,38.66,17.01,3.09,29,194,15.97938144,4,2,33.50515464,48.5,97,0.010309278,0.149484536,6.689655172
713487f0de26590bca3c759e2fef02b3a5bad9fd,1,1,0,100,0,100,0,0,0,1,1,100,1,1,0,1,1,1,1,1
78ca432228d8679112c09d9b3d50491c5539681a,1,2,0,55,0,33.33,66.67,66.67,0,2,3,33.33333333,1,1,0,3,3,0.333333333,0.666666667,1.5
1e48d7fffb4fbe08eec6151ce5b2378258d13aeb,4,61,75,94.6347541,22.35,34.71,42.94,0,0,61,170,34.70588235,13,7,22.35294118,13.07692308,24.28571429,0.023529412,0.358823529,2.786885246
a3c251eb71ac7769282f383672f19d3cf66f1b04,6,60,83.33,96.611,18.3,18.3,56.78,8.83,0.95,60,317,20.50473186,14,9,18.29652997,22.64285714,35.22222222,0.018927445,0.189274448,5.283333333
